ac_no.,ac_name,type,district,winning_candidate,party,total_elector,total_votes,poll_pct,margin,margin_pct
196,Thirumangalam,GEN,Madurai,Manimaran.M,DMK,261238,230047,88.1,23807,10.3
181,Thirumayam,GEN,Pudukkottai,Regupathy.S,DMK,220568,181667,82.4,1492,0.8
195,Thiruparankundram,GEN,Madurai,Nirmalkumar. R.,TVK,311400,254318,81.7,41553,16.3
33,Thiruporur,GEN,Chengalpattu,B.Vijayaraj,TVK,294410,261161,88.7,39351,15.1
166,Thiruthuraipoondi,SC,Thiruvarur,Marimuthu.K,CPI,226845,190233,83.9,12922,6.8
173,Thiruvaiyaru,GEN,Thanjavur,Durai. Chandrasekaran,DMK,258374,221163,85.6,8555,3.9
4,Thiruvallur,GEN,Thiruvallur,Dr. T. Arunkumar,TVK,251018,225296,89.8,24760,11
168,Thiruvarur,GEN,Thiruvarur,Kalaivanan Poondi  K,DMK,260027,217050,83.5,18148,8.4
142,Thiruverumbur,GEN,Tiruchirappalli,Vijayakumar (A) NAVALPATTU S. VIJI,TVK,259546,212838,82,8705,4.1
170,Thiruvidaimarudur,SC,Thanjavur,Govi.Chezhiaan,DMK,256930,208197,81,14116,6.8
10,Thiruvottiyur,GEN,Thiruvallur,Senthil Kumar. N,TVK,244903,206283,84.2,53564,26
24,Thiyagarayanagar,GEN,Chennai,Anand N,TVK,158757,133050,83.8,13027,9.8
119,Thondamuthur,GEN,Coimbatore,S.P.Velumani,AIADMK,293324,257549,87.8,14725,5.7
214,Thoothukkudi,GEN,Thoothukudi,Srinath,TVK,250587,203859,81.4,37731,18.5
20,Thousand Lights,GEN,Chennai,Prabhakar.J.C.D,TVK,157529,131009,83.2,15141,11.6
146,Thuraiyur,SC,Tiruchirappalli,Ravisankar.M,TVK,210685,183729,87.2,9614,5.2
72,Tindivanam,SC,Viluppuram,Vanni Arasu,VCK,219256,195312,89.1,734,0.4
215,Tiruchendur,GEN,Thoothukudi,Anitha R. Radhakrishnan,DMK,232933,185328,79.6,5872,3.2
96,Tiruchengodu,GEN,Namakkal,Arunraj K G,TVK,209072,190602,91.2,28172,14.8
141,Tiruchirappalli (East),GEN,Tiruchirappalli,C. Joseph Vijay,TVK,220191,181979,82.6,27416,15.1
140,Tiruchirappalli (West),GEN,Tiruchirappalli,K.N.Nehru,DMK,238920,195249,81.7,4786,2.5
208,Tiruchuli,GEN,Virudhunagar,Thangam Thenarasu,DMK,205301,180825,88.1,13485,7.5
76,Tirukkoyilur,GEN,Viluppuram,Palanisamy S,AIADMK,243105,216818,89.2,285,0.1
224,Tirunelveli,GEN,Tirunelveli,Murughan.R.S.,TVK,275857,217708,78.9,11414,5.2
50,Tirupattur,GEN,Tirupathur,Dr.Thirupathi. N,TVK,226691,202461,89.3,48263,23.8
185,Tiruppattur,GEN,Sivaganga,Seenivasa Sethupathy. R,TVK,275904,214963,77.9,1,0
113,Tiruppur (North),GEN,Tiruppur,V.Sathyabama,TVK,315837,262379,83.1,69992,26.7
114,Tiruppur (South),GEN,Tiruppur,Balamurugan. S,TVK,197091,179170,90.9,12901,7.2
3,Tiruttani,GEN,Thiruvallur,G.Hari,AIADMK,261857,237588,90.7,5793,2.4
210,Tiruvadanai,GEN,Ramanathapuram,Rajeev,TVK,283864,219924,77.5,2513,1.1
63,Tiruvannamalai,GEN,Tiruvannamalai,Velu. E.V,DMK,249848,219281,87.8,2455,1.1
151,Tittakudi,SC,Cuddalore,Ganesan C.V,DMK,208984,175170,83.8,2629,1.5
108,Udhagamandalam,GEN,The Nilgiris,Bhojarajan.M,BJP,188826,147179,77.9,976,0.7
125,Udumalaipettai,GEN,Tiruppur,Jayakumar M.,DMK,230976,202426,87.6,2882,1.4
77,Ulundurpettai,GEN,Kallakurichi,Vasanthavel G R,DMK,300699,269951,89.8,2277,0.8
197,Usilampatti,GEN,Madurai,Vijay. M,TVK,266192,223356,83.9,1805,0.8
51,Uthangarai,SC,Krishnagiri,N Elaiyaraja,TVK,235451,204649,86.9,5198,2.5
36,Uthiramerur,GEN,Kancheepuram,Munirathinam.J,TVK,246177,226651,92.1,14223,6.3
124,Valparai,SC,Coimbatore,Kutty (ALIAS) SUDHAKAR. A,DMK,173608,149756,86.3,9371,6.3
69,Vandavasi,SC,Tiruvannamalai,Ambethkumar. S,DMK,213474,190216,89.1,3333,1.8
47,Vaniyambadi,GEN,Tirupathur,Syed Farooq Basha Ssb,IUML,242540,211910,87.4,2982,1.4
73,Vanur,SC,Viluppuram,Gowtham D,DMK,209824,191600,91.3,7034,3.7
220,Vasudevanallur,SC,Tenkasi,E. Raja,DMK,228557,189158,82.8,6583,3.5
165,Vedaranyam,GEN,Nagapattinam,Manian. O.S,AIADMK,187439,161653,86.2,7331,4.5
133,Vedasandur,GEN,Dindigul,Saminathan. T,DMK,243774,226080,92.7,10063,4.5
91,Veerapandi,GEN,Salem,Palanivel. M.S,TVK,250449,235281,93.9,4071,1.7
26,Velachery,GEN,Chennai,Kumar. R,TVK,217171,183479,84.5,33305,18.2
43,Vellore,GEN,Vellore,M.M.Vinoth Kannan,TVK,214504,189770,88.5,6777,3.6
54,Veppanahalli,GEN,Krishnagiri,Srinivasan.P.S,DMK,246093,221038,89.8,138,0.1
75,Vikravandi,GEN,Viluppuram,Sivakumar C,PMK,228995,208830,91.2,910,0.4
213,Vilathikulam,GEN,Thoothukudi,Markandayan G V,DMK,204982,174172,85,8228,4.7
233,Vilavancode,GEN,Kanniyakumari,Praveen T.T,INC,226658,174099,76.8,20970,12
14,Villivakkam,GEN,Chennai,Aadhav Arjuna,TVK,163372,140757,86.2,17302,12.3
74,Viluppuram,GEN,Viluppuram,Lakshmanan R,DMK,245899,214849,87.4,4119,1.9
179,Viralimalai,GEN,Pudukkottai,Vijayabaskar. C,AIADMK,225090,203546,90.4,62073,30.5
206,Virudhunagar,GEN,Virudhunagar,Selvam P,TVK,200618,166878,83.2,9391,5.6
22,Virugampakkam,GEN,Chennai,Sabarinathan.R,TVK,200578,171801,85.7,27086,15.8
152,Vriddhachalam,GEN,Cuddalore,Premallatha Vijayakant,DMDK,240783,208431,86.6,2387,1.1
83,Yercaud,ST,Salem,Usharani. P,AIADMK,272829,252342,92.5,2189,0.9
