ac_name,ac_no.,type,district,winning_candidate,party,total_electors,total_votes,poll_pct,margin,margin_pct
Srivaikuntam,216,GEN,Thoothukkudi,Amirtharaj .S,INC,"214,449","163,630",76.30,"17,372",10.60
Srivilliputhur,203,SC,Virudhunagar,"Manraj, E.M.",AIADMK,"238,501","183,373",76.90,"12,738",6.90
Sulur,116,GEN,Coimbatore,Kandasamy V.P.,AIADMK,"295,216","239,043",81.00,"31,932",13.40
Tambaram,31,GEN,Kancheepuram,Raja.S.R,DMK,"380,754","246,691",64.80,"36,824",14.90
Tenkasi,222,GEN,Tirunelveli,Palani Nadar.S,INC,"275,643","212,949",77.30,370,0.20
Thalli,56,GEN,Krishnagiri,Ramachandran.T,CPI,"242,107","192,056",79.30,"56,226",29.30
Thanjavur,174,GEN,Thanjavur,"Neelamegam, T.K.G.",DMK,"277,373","192,921",69.60,"47,149",24.40
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar.P,DMK,"210,344","132,650",63.10,"55,013",41.50
Thirumangalam,196,GEN,Madurai,Udhayakumar R B,AIADMK,"268,427","219,524",81.80,"14,087",6.40
Thirumayam,181,GEN,Pudukkottai,S.Regupathy,DMK,"215,471","173,462",80.50,"1,382",0.80
Thiruparankundram,195,GEN,Madurai,"Rajanchellappa, V.V.",AIADMK,"304,719","233,776",76.70,"29,489",12.60
Thiruporur,33,GEN,Kancheepuram,S.S.Balaji,VCK,"270,769","224,747",83.00,"1,947",0.90
Thiruthuraipoondi,166,SC,Thiruvarur,Marimuthu K,CPI,"230,016","184,573",80.20,"30,068",16.30
Thiruvaiyaru,173,GEN,Thanjavur,Durai.Chandrasekaran,DMK,"257,341","210,250",81.70,"53,650",25.50
Thiruvallur,4,GEN,Thiruvallur,"Raajendran, V.G.",DMK,"260,870","212,371",81.40,"22,701",10.70
Thiruvarur,168,GEN,Thiruvarur,Kalaivanan Poondi K.,DMK,"269,259","206,637",76.70,"51,174",24.80
Thiruverumbur,142,GEN,Tiruchirappalli,Anbil Mahesh Poyyamozhi,DMK,"283,947","195,595",68.90,"49,697",25.40
Thiruvidaimarudur,170,SC,Thanjavur,"Chezhiaan, Govi.",DMK,"243,754","197,206",80.90,"10,680",5.40
