ac_name,ac_no.,type,district,winning_candidate,party,total_electors,total_votes,poll_pct,margin,margin_pct
Kilvaithinankuppam,45,SC,Vellore,M.Jagan Moorthy,AIADMK,"216,745","172,326",79.50,"10,582",6.10
Kilvelur,164,SC,Nagapattinam,Nagaimaali V P,CPI(M),"170,064","142,098",83.60,"16,985",12.00
Kinathukadavu,122,GEN,Coimbatore,Damodaran.S,AIADMK,"300,959","230,158",76.50,"1,095",0.50
Kolathur,13,GEN,Chennai,M.K. Stalin,DMK,"268,296","171,859",64.10,"70,384",41.00
Kovilpatti,218,GEN,Thoothukkudi,Kadambur Raju,AIADMK,"255,257","179,804",70.40,"12,403",6.90
Krishnagiri,53,GEN,Krishnagiri,Ashokkumar.K,AIADMK,"256,172","209,811",81.90,794,0.40
Krishnarayapuram,136,SC,Karur,Sivagama Sundari.K,DMK,"205,230","179,725",87.60,"31,625",17.60
Kulithalai,137,GEN,Tiruchirappalli,R.Manickam,DMK,"217,112","196,265",90.40,"23,540",12.00
Kumarapalayam,97,GEN,Namakkal,Thangamani.P,AIADMK,"243,526","200,583",82.40,"31,646",15.80
Kumbakonam,171,GEN,Thanjavur,"Anbalagan, G.",DMK,"258,243","195,916",75.90,"21,383",10.90
Kunnam,148,GEN,Perambalur,"Sivasankar, S.S.",DMK,"262,924","219,126",83.30,"6,329",2.90
Kurinjipadi,156,GEN,Cuddalore,M.R.K.Panneerselvam,DMK,"231,741","197,569",85.30,"17,527",8.90
Lalgudi,143,GEN,Tiruchirappalli,A.Soundarapandian,DMK,"210,610","173,554",82.40,"16,949",9.80
Madathukulam,126,GEN,Coimbatore,C Mahendran,AIADMK,"237,102","180,854",76.30,"6,438",3.60
Madavaram,9,GEN,Thiruvallur,Sudharsanam. S,DMK,"422,016","300,534",71.20,"57,071",19.00
Madurai Central,193,GEN,Madurai,Palanivel Thiaga Rajan,DMK,"236,127","147,989",62.70,"34,176",23.10
Madurai East,189,GEN,Madurai,Moorthy P,DMK,"307,184","235,948",76.80,"49,604",21.00
Madurai North,191,GEN,Madurai,Thalapathi G,DMK,"236,352","154,992",65.60,"22,916",14.80
Madurai South,192,GEN,Madurai,Boominathan.M,DMK,"225,393","146,282",64.90,"6,515",4.50
Madurai West,194,GEN,Madurai,Raju. K,AIADMK,"294,018","199,920",68.00,"9,121",4.60
Madurantakam,35,SC,Kancheepuram,Maragatham. K,AIADMK,"218,271","184,471",84.50,"3,570",1.90
Maduravoyal,7,GEN,Thiruvallur,Ganapathy.K,DMK,"413,109","271,724",65.80,"31,721",11.70
Mailam,71,GEN,Viluppuram,Sivakumar C,PMK,"214,350","176,105",82.20,"2,230",1.30
Manachanallur,144,GEN,Tiruchirappalli,S. Kathiravan,DMK,"231,827","195,652",84.40,"59,618",30.50
Manamadurai,187,SC,Sivaganga,Tamilarasi A.,DMK,"264,191","201,728",76.40,"14,091",7.00
Manapparai,138,GEN,Tiruchirappalli,Abdul Samad P,DMK,"274,874","220,739",80.30,"12,243",5.50
Mannargudi,167,GEN,Thiruvarur,Rajaa T R B,DMK,"249,307","192,269",77.10,"37,393",19.40
Mayiladuthurai,161,GEN,Nagapattinam,Rajakumar.S,INC,"235,653","173,573",73.70,"2,742",1.60
Melur,188,GEN,Madurai,Periyapullan @ Selvam P.,AIADMK,"239,856","181,898",75.80,"35,162",19.30
Mettuppalayam,111,GEN,Coimbatore,Selvaraj A K,AIADMK,"280,968","222,350",79.10,"2,456",1.10
Mettur,85,GEN,Salem,Sadhasivam.S,PMK,"274,547","216,195",78.70,656,0.30
Modakkurichi,100,GEN,Erode,Saraswathi.C,BJP,"229,956","179,515",78.10,281,0.20
Mudhukulathur,212,GEN,Ramanathapuram,R.S.Rajakannappan,DMK,"303,458","220,690",72.70,"20,721",9.40
Musiri,145,GEN,Tiruchirappalli,N. Thiyagarajan,DMK,"224,014","178,614",79.70,"26,836",15.00
Mylapore,25,GEN,Chennai,Velu.Dha,DMK,"258,722","152,143",58.80,"12,633",8.30
Nagapattinam,163,GEN,Nagapattinam,J. Mohamed Shanavas,VCK,"189,926","142,665",75.10,"7,238",5.10
Nagercoil,230,GEN,Kanniyakumari,Gandhi M.R.,BJP,"254,201","183,255",72.10,"11,669",6.40
Namakkal,94,GEN,Namakkal,Ramalingam P,DMK,"248,958","205,474",82.50,"27,861",13.60
Nanguneri,227,GEN,Tirunelveli,Ruby R Manoharan,INC,"256,674","190,985",74.40,"16,486",8.60
Nannilam,169,GEN,Thiruvarur,Kamaraj R,AIADMK,"260,052","220,754",84.90,"4,424",2.00
